source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,ruwe,visibility_periods_used
1152923909788539776,225.0977745412697,0.10853143062074923,12.411057,0.85266685,0.33174938,3.1364167,16
1152925284178324224,225.03311383154508,0.16547408469290528,13.882596,1.0215807,0.035959728,1.0860612,15
1152926250546475648,224.87779330260247,0.10460887703196207,13.912064,0.8910122,0.0,0.98916847,16
1152927418777583872,224.86086595556495,0.15957438511881308,13.035232,0.7870245,0.059413686,1.0927914,16
1152927487497196032,224.85505775145543,0.1611607297184165,13.475055,0.815115,0.0,0.95589846,15
1152927728015228416,224.94689027267086,0.19235312545676878,13.63922,0.88945675,0.0,0.9828504,15
1152928105972347008,224.99315482674004,0.15601896607066,13.7604,1.2095785,0.037388198,1.1397787,15
1152931915607828992,225.13457355014202,0.2559240130033442,12.200421,1.0103788,0.09751175,1.1986523,15
1152932435299383936,225.16238577872647,0.28679646890051713,12.898268,1.2206411,0.07472733,0.9992049,14
1152932847616240128,225.23785666174794,0.2627589607420248,13.895233,0.892931,0.0,1.0157467,15
1152933328652577024,225.29022200049866,0.28888220604704395,13.943009,1.0174284,0.0,1.0130246,14
1152933530515278720,225.29311337205584,0.3190662036352055,13.598477,0.8257599,0.40448174,4.411346,14
1152934393804711680,225.28496573145995,0.3523436076104158,12.343331,1.0679245,0.09162423,1.208329,15
1152936867705639552,225.09380417545492,0.35948581265436197,13.810254,1.1522388,0.0,0.9507404,14
1152940509837910016,224.77258121323266,0.2210863933115328,12.594608,0.7917652,0.17857562,1.943462,14
1152940887795030400,224.84757594154073,0.24940775258432343,13.009605,1.0653286,0.050941903,1.0144904,15
1152943189897504896,224.940210781265,0.3476869881073075,13.984594,0.7168503,0.16511348,1.4983318,16
1152945075387480576,224.68392062183892,0.31749014374681456,13.738746,1.0896597,0.4306118,3.7723768,14
1152945079683122944,224.6839878136681,0.3109416342470928,12.963516,1.0983353,0.046277422,0.8629662,14
1152947141267542144,224.74218847788552,0.37267889224941864,13.010837,1.2122374,0.033194166,0.8877637,14
