source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise
1729382256910822016,315.0015075569687,0.004075800660082139,17.511202,0.81567,0.0
1729382256910822144,314.99537213133743,0.00818787349465024,16.28179,0.8474045,2.5706618
1729382325630299008,314.9936408777812,0.017932008700738772,19.341215,2.522438,0.7022273
1729382359990037760,315.00378175655965,0.02185021743471842,16.631908,0.9701328,0.3180973
1729382359990037888,315.00426061169344,0.027191356940894446,19.794935,1.23526,0.0
1729382359990038016,314.99926672160814,0.02700239112817343,18.499428,1.1157265,0.0
1729382359990038784,314.996089520374,0.031143451867319757,18.562912,0.99531555,0.0
1729382364285818368,314.9908197494764,0.02843830260643279,15.114383,1.1106844,0.0
1729382394349776640,315.0164680514797,0.027836937626257895,17.49323,2.0645866,0.0
1729382394349777024,315.01560157752743,0.030876989535514498,19.49504,2.2302856,0.7141747
1729382398644643840,315.02822863537153,0.02671159925449056,15.404615,0.9142008,0.14636377
1729382428708972544,315.0281456050144,0.03202333095399035,18.549984,2.1396103,0.42784187
1729382428708972672,315.03305095753035,0.035159416295237784,16.849428,1.7616081,0.0
1729382433005296384,315.0357569861095,0.040800714535672404,17.877356,1.865942,0.0
1729382531788430464,314.9750312574546,0.02441875422223125,17.829046,1.6947517,0.2143232
1729382531788430720,314.96987861530494,0.029617600053700593,16.903196,0.82465553,0.0
1729382531788430976,314.97493161367095,0.031210301486337733,18.946741,0.9526825,0.0
1729382566148469632,314.99678163606376,0.03902462889783009,19.972776,0.87919426,1.1498232
1729382600507907840,314.9654182401083,0.032776779313505686,18.839235,1.0797443,0.0
1729382600507907968,314.9621953979982,0.04130264051796569,19.206232,1.2163258,0.29830593
1729382600507908224,314.96858481780436,0.04198994240569717,15.965033,1.149375,0.10598167
1729382600508207488,314.97595567739165,0.03630759327758141,17.97794,1.489666,0.0
1729382634867947392,314.9820095112653,0.04682840107192203,17.783438,1.8075275,0.0
1729382669227685632,315.0014574027907,0.046307733169383455,17.44408,1.2161579,0.0
1729382703587424640,315.0050435700983,0.05241603578835409,19.704666,1.6982231,0.0
1729382703587425664,315.00643087225234,0.056583813610627594,16.366598,0.98668194,0.0
1729382737947163264,314.99085355426706,0.052596823329841086,17.41152,1.2106342,0.0
1729382742242941056,314.98285975981526,0.05184343432233062,16.156551,0.89455986,0.0
1729382772306903552,314.9980781543317,0.06265712236355687,18.683325,2.115614,0.58015484
1729382776603796352,315.0002744541425,0.05688600641578034,19.35264,1.3124962,0.8343345
1729382841025834240,315.0581738631639,0.054054940187493614,19.325367,1.060379,0.47095263
1729382875386117632,315.0364009399897,0.05879882229031677,18.240763,1.3861256,0.0
1729382879681895552,315.0336190028882,0.04728907269074765,18.238243,1.455122,0.15603611
1729382879681895680,315.0390177312625,0.05593386422457949,15.407707,1.091568,0.04804846
1729382879681916032,315.03198681224126,0.06211907476064191,15.262296,1.2597322,0.0
1729382909745311232,315.04944075602333,0.06137361925792132,19.682121,1.0040932,1.0977144
1729382944105049472,315.0669395600397,0.058609899810743285,18.527773,0.944849,0.47110647
1729382944105049728,315.06810389018983,0.06150244965866808,17.92642,1.2423916,0.26410118
1729382944105049856,315.06508923251397,0.062227055543222665,18.246643,1.095705,1.3755507
1729382948401373312,315.07357356118473,0.06682662743725065,18.882517,1.2156792,0.38816458
